id,pathway_id,pathway_slug,pathway_title,name,description,document_type,is_mandatory,sort_order,step_id
d17ff077-06bc-4305-9de4-c73fb5c34814,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Language test results,"Results from a designated language testing organization showing CLB/NCLC scores, less than 2 years old.",language_test,true,0,
5cd739eb-3891-47a1-8747-7942fa05ae76,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Proof of work experience,"Documentation showing 1,560 hours of qualifying work experience in the last 5 years (not required for eligible international graduates).",employment_letter,false,0,
d067ca37-578d-4243-bd69-785029ba25a3,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Valid passport or travel document,Proof of identity and citizenship required to travel to Canada.,passport,true,0,
c6b87257-c8c7-41b4-9483-35f3c4ec4515,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Proof of settlement funds,Bank statements or financial documents demonstrating sufficient funds to support yourself and family upon arrival (not required if already working in Canada on valid work permit).,bank_statement,false,0,
cda28555-e179-424e-8ba9-a6cd69094837,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Provincial endorsement certificate,Certificate issued by the Atlantic province confirming employer endorsement and candidate approval.,provincial_nomination_letter,true,0,
1593a53e-014e-4192-a44d-588c4828ebdd,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Work permit support letter,Letter from IRCC supporting work permit application while permanent residence is being processed.,employment_letter,false,0,
d8f61d7e-5116-4bb0-940a-4072f17fa5f2,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Settlement plan,Document developed with settlement service provider outlining integration plans for life in Atlantic Canada.,settlement_plan,true,0,
d4bd9e7b-e6be-4344-9e0a-9769acfbae02,61d0cd41-e7df-4da5-9459-d10317a03544,canada-atlantic-immigration,Atlantic Immigration Program (AIP),Educational credential or ECA report,Canadian educational credential or foreign equivalent with Education Credential Assessment (ECA) report depending on TEER category.,education_credential,true,0,
18d36a22-4a23-4b9a-8abb-726a315923db,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),Approval in principle letter,"Official letter from IRCC indicating approval in principle for permanent residence (required for Home Child Care Provider Pilot, Home Support Worker Pilot, Caring for Children/High Medical Needs, and Agri-Food Pilot applicants).",approval_in_principle,false,0,
1e746c7f-4bb2-4fb8-816c-5bd15727dece,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),Nomination letter,Document confirming your nomination under the Provincial Nominee Program (required for PNP via Express Entry applicants).,nomination_letter,false,0,
